Job_Title,Skill,Company,No_of_Reviews,No_of_Stars,Date_Since_Posted,Location,Company_Employees,Company_Industry
Data Analyst,R| SQL| Tableau| Python,eSpark,2,3,30,CA,,
Senior Data Analyst,Machine Learning| SQL| Python,GlassDoor,2,3,1,MN,"10,000+","Restaurants, Travel and Leisure"
Senior Data Analyst,Machine Learning| SQL| Python,GlassDoor,2,3,1,OR,"10,000+","Restaurants, Travel and Leisure"
Senior Data Analyst,Machine Learning| SQL| Python,GlassDoor,2,3,1,MA,"10,000+","Restaurants, Travel and Leisure"
Senior Data Analyst,Machine Learning| SQL| Python,GlassDoor,2,3,1,MD,"10,000+","Restaurants, Travel and Leisure"
Aircraft Data Analyst,JavaScript| Confluence| Time Management| Software Development| Visual Basic| Jira| Aviation Experience,ForeFlight,2,3.5,8,TX,,
Bibliographic Data Analyst- #02934,Integrated Library System| Time Management| SQL,Association of Universities for Research in Astronomy,2,5,7,MD,,
Data Analyst,JavaScript| Microsoft Powerpoint| SQL| HTML5| Excel| Python,Renewable Energy Systems Ltd.,2,3,29,USA,,
Marketing Data Analyst,Marketing Automation| Marketing| E-Commerce| Excel| SQL| Tableau,Listrak,2,4,5,PA,,
Marketing Data Analyst,Marketing Automation| Marketing| E-Commerce| Excel| SQL| Tableau,Listrak,2,4,5,PA,,
HEDIS/Quality Improvement Data Analyst,Epic| R| SAS| SQL| Microsoft Office| Tableau| Microsoft Word| Cerner| SPSS| Python,Blue Cross Blue Shield of Arizona Advantage,2,2.5,1,AZ,,Health Care
Clinical Data Analyst,,"Beaver Dam Community Hospitals, Inc.",2,5,11,WI,,Health Care
Clinical Data Analyst,,Matheny School and Hospital,2,4,30,NJ,,Health Care
Data Analyst,PMP| Oracle| Microsoft Office| Data Analysis,Vista Technology Services,2,5,30,VA,"Less than 10,000",Consulting and Business Services
Data Analyst,SQL,Grid Dynamics,2,3.5,27,CA,,
Data Analyst,Spark| Machine Learning| Python| SQL,Doximity,2,5,30,CA,,
Quantitative Data Analyst (Minerva) Co-op,,Cogo Labs,2,3.5,19,MA,"Less than 10,000",Internet and Software
Quantitative Data Analyst (Minerva),,Cogo Labs,2,3.5,30,MA,"Less than 10,000",Internet and Software
Quantitative Data Analyst (Cogo Labs),,Cogo Labs,2,3.5,30,MA,"Less than 10,000",Internet and Software
Quantitative Data Analyst (Cogo Labs) Co-op,,Cogo Labs,2,3.5,19,MA,"Less than 10,000",Internet and Software
Sales Data Analyst,Data Analysis,JFrog,2,4,30,CA,,
Data Analyst,Data Mining| R| SAS| SQL| Tableau| T-SQL| PL/SQL| Spark| Data Analysis| AWS,KMM Technologies,2,2.5,16,VA,,
Business Data Analyst,,Prospect 33,2,4.5,30,NC,,
Marketing Data Analyst,Marketing| Digital Marketing| SQL| Tableau| REST| Data Analysis,ForeFlight,2,3.5,30,TX,,
"Quant UX Researcher, Data Analyst",Survey Design,TSheets,2,4,16,ID,,
Data Analyst - Product,Machine Learning| R| SQL| Tableau| Python,JUUL Labs,2,4,7,CA,,Consumer Goods and Services
Technical Data Analyst - machine learning,System Design| AI| Omnigraffle| Machine Learning| Service-Oriented Architecture| SQL| .Net| Java| Visio| OOP| Jira,Productive Edge,2,4,13,IL,,
Customer Operations Data Analyst APAC,Data Mining| SQL| Tableau| Data Warehouse| Python,JUUL Labs,2,4,12,CA,,Consumer Goods and Services
Data Analyst,R| SAS| SQL,DataLab USA,2,4.5,30,MD,"Less than 10,000",Consulting and Business Services
Data Analyst,MySQL| SQL,3coast,2,4.5,1,NY,,Human Resources and Staffing
Customer Operations Data Analyst,Data Mining| SQL| Tableau| Data Warehouse| Python,JUUL Labs,2,4,14,CA,,Consumer Goods and Services
